"WorkerId";"WorkTimeInSeconds";"Input.name";"Answer.Competence";"Answer.Engagement";"Answer.Global";"Answer.Keyword";"Answer.Persuasiveness";"clip"
"A3F6FNJMTWTPTA";73;"ALS01";5;4;71;"thrombose";3;"middle"
"A3KLFN0W4O3JVC";83;"ALS01";4;4;77;"CrǸer des thromboses veineuse chez le cochon pour Ǹtudier de futur solution";4;"middle"
"AOOM8772H6308";114;"ALS01";4;3;83;"trombose";5;"middle"
"A2BF2FUO6F63N7";181;"ALS01";5;1;90;"thrombose veineuse";4;"end"
"A4IQ0TJHUIV3U";86;"ALS01";5;3;90;"thrombose venose et calliot";5;"end"
"AJU7B06ZHGRQS";78;"ALS01";5;4;70;"Thrombose";4;"end"
"A1337MPXA69L1O";64;"ALS01";5;4;86;"D̩boucher";4;"beginning"
"A3NSVJGHKJE2DY";103;"ALS01";5;5;87;"veines";5;"beginning"
"ACKM83MOGDRHP";116;"ALS01";4;4;80;"veine";3;"beginning"
"A1V6B98VMTBSFS";480;"ALS01";4;4;87;"Test de rǸparation veineuse";4;"full"
"A3A6KSG3QG6AUK";837;"ALS01";5;3;81;"Remodelage";4;"full"
"A3MSYMSTHZJI98";550;"ALS01";4;4;80;"thrombose veineuse";4;"full"
"A13PVNQT2WWWVL";79;"ALS02";5;2;80;"mǸlanome";5;"middle"
"A2EXPV7UOY7RP6";75;"ALS02";4;4;82;"peau";4;"middle"
"A2URLJ0ZX78TOY";183;"ALS02";5;4;81;"MǸlanoma";5;"middle"
"A1LP84A304GZYQ";243;"ALS02";4;4;51;"Le Cancer";3;"end"
"A3IJILP55BWIOP";74;"ALS02";3;3;62;"cancer";3;"end"
"A4IQ0TJHUIV3U";66;"ALS02";5;4;86;"degrader un mǸlanome";5;"end"
"A1337MPXA69L1O";83;"ALS02";2;2;32;"cancer";2;"beginning"
"ACKM83MOGDRHP";76;"ALS02";3;4;69;"cancer";4;"beginning"
"AVNP1F3CADQRW";162;"ALS02";4;4;83;"prison";4;"beginning"
"A2OVMRCLSHX036";235;"ALS02";4;3;82;"melanomia";4;"full"
"A3MSYMSTHZJI98";760;"ALS02";4;3;83;"cancer";3;"full"
"A67LIDMIXQ67N";219;"ALS02";5;5;100;"MǸlanoma";5;"full"
"A13PVNQT2WWWVL";131;"ALS03";4;3;76;"consommation";4;"middle"
"A2EXPV7UOY7RP6";73;"ALS03";5;5;96;"Ressources";5;"middle"
"A2I2S3U4DRA8ZV";113;"ALS03";4;4;87;"ressources";4;"middle"
"AJU7B06ZHGRQS";82;"ALS03";3;3;59;"Consommation de ressources";3;"end"
"AX986BHAJH3IF";238;"ALS03";5;3;83;"MǸtabolisme du territoire";4;"end"
"AZBGXVYME48RJ";76;"ALS03";3;3;78;"Environemment";3;"end"
"A1337MPXA69L1O";67;"ALS03";5;4;87;"m̩tabolisme";4;"beginning"
"A1F97B6GPXCTD";88;"ALS03";4;3;75;"geographe";4;"beginning"
"AM0AQKWYSLK7X";182;"ALS03";4;4;90;"aliment";4;"beginning"
"A2OVMRCLSHX036";207;"ALS03";5;4;94;"mǸtabolisme des territoires";5;"full"
"A3MSYMSTHZJI98";340;"ALS03";4;3;91;"Ǹconomie durablement";4;"full"
"A67LIDMIXQ67N";291;"ALS03";2;1;64;"Metabolisme";2;"full"
"A157LV5C7C5B1U";82;"ALS04";5;5;100;"ours";5;"middle"
"A2I2S3U4DRA8ZV";121;"ALS04";5;4;78;"L'amyotrophie";4;"middle"
"A3F6FNJMTWTPTA";71;"ALS04";5;5;86;"ours";5;"middle"
"A1LP84A304GZYQ";264;"ALS04";3;4;25;"Proteine";2;"end"
"A2BF2FUO6F63N7";116;"ALS04";4;2;83;"protǸine";4;"end"
"A3IJILP55BWIOP";231;"ALS04";3;3;51;"atrophie musculaire.";3;"end"
"A1337MPXA69L1O";71;"ALS04";5;5;95;"atrophie musculaire";5;"beginning"
"A31PVZ4KDUMEEV";99;"ALS04";3;3;50;"atrophie/perte musculaire";3;"beginning"
"ACKM83MOGDRHP";109;"ALS04";4;4;65;"atrophie";4;"beginning"
"A1V6B98VMTBSFS";430;"ALS04";2;2;23;"Recherche de la perte musculaire dans l'espace et comment la prǸvenir";2;"full"
"A3MSYMSTHZJI98";760;"ALS04";4;4;91;"d'atrophie musculaire";5;"full"
"A67LIDMIXQ67N";475;"ALS04";4;3;100;"Atrophie musculaire";5;"full"
"A1OJ8IJAEIWL9T";209;"ALS05";5;4;90;"fluide";4;"middle"
"A2I2S3U4DRA8ZV";119;"ALS05";4;3;75;"forrage";5;"middle"
"AK3VQAVM96OJ3";127;"ALS05";5;4;85;"liquide";4;"middle"
"A2BF2FUO6F63N7";83;"ALS05";4;2;88;"forage";4;"end"
"A3IJILP55BWIOP";103;"ALS05";2;2;35;"physique";2;"end"
"A4IQ0TJHUIV3U";82;"ALS05";5;4;78;"comportament radiologique de le fluid de forage";4;"end"
"A1337MPXA69L1O";84;"ALS05";2;2;31;"Rh̩ologie";2;"beginning"
"A1F97B6GPXCTD";92;"ALS05";4;2;60;"viscosit̩";3;"beginning"
"A3IRGLXO0OXSQG";208;"ALS05";4;4;75;"Riologie";4;"beginning"
"A2YX27BC5JWP26";649;"ALS05";4;3;76;"la rheologie";4;"full"
"A3MSYMSTHZJI98";481;"ALS05";5;5;100;"comportement rhǸologique";4;"full"
"A3POQ5BNIWRKJP";207;"ALS05";2;2;31;"La rayologie";2;"full"
"A13PVNQT2WWWVL";90;"ALS06";4;4;90;"arme anti cancǸreux";5;"middle"
"A3KLFN0W4O3JVC";97;"ALS06";3;3;59;"la gestion du syst��me immunitaire";3;"middle"
"AK3VQAVM96OJ3";155;"ALS06";4;5;85;"anticorps";5;"middle"
"A2BF2FUO6F63N7";74;"ALS06";4;4;72;"anticorps";4;"end"
"A3IJILP55BWIOP";101;"ALS06";3;3;50;"cancer";3;"end"
"AJU7B06ZHGRQS";102;"ALS06";4;4;70;"Cancer du sein";4;"end"
"A1P7L8379HGP4Z";99;"ALS06";5;4;85;"tumeur";4;"beginning"
"A3NSVJGHKJE2DY";228;"ALS06";4;3;36;"Cancer";3;"beginning"
"AVNP1F3CADQRW";194;"ALS06";4;4;75;"immunit̩";3;"beginning"
"A2OVMRCLSHX036";194;"ALS06";4;3;79;"Anticorps contre le cancer";4;"full"
"A3MSYMSTHZJI98";290;"ALS06";5;4;94;"cancer";4;"full"
"AJT3SUCY8NCHA";202;"ALS06";5;5;100;"anticorps";5;"full"
"A2I2S3U4DRA8ZV";111;"ALS07";5;5;94;"temps";5;"middle"
"A3KLFN0W4O3JVC";79;"ALS07";3;3;51;"La dǸfinition du temps et de l'homme";3;"middle"
"A84BZJ0HK981A";99;"ALS07";5;3;96;"philosophie";5;"middle"
"A2BF2FUO6F63N7";70;"ALS07";4;3;77;"temps";4;"end"
"A3IJILP55BWIOP";87;"ALS07";2;2;32;"philosophie";2;"end"
