ID,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
SOU01,20.108643,0.75168896,17.901873,0.62906766,10.800231,1.1637795,6.185403,2.1901033,29.079027,0.41573635,18.283669,0.6786411,11.183816,1.3480613,0.65707934,21.48948
PES05,14.794387,1.0161147,10.8622055,1.2205946,2.6173499,5.001363,-15.272211,-1.1284398,23.641314,0.52557814,10.8699,1.2942868,3.954841,3.9192495,-24.269564,-0.6809424
SPC02,17.19268,0.82766974,4.2433724,3.2980917,21.084179,0.7249312,-4.125101,-4.108705,22.500563,0.56568813,2.5538793,5.9476733,24.842096,0.6677101,-11.130356,-1.4912478
BOD03,20.27646,0.6763444,10.359314,1.5322622,10.303736,1.4020584,-9.830577,-1.8762922,25.910332,0.44009814,8.78518,1.8774369,8.848024,1.8331352,-15.082453,-1.2762469
BRE11,20.339468,0.67257476,4.3029556,3.5574665,12.1907015,1.1738259,-13.065781,-1.3456519,26.232601,0.43694943,1.8633356,9.042344,14.264651,1.1191096,-20.589758,-0.85244596
LRE10,18.822643,0.5193039,-2.3385942,-5.796689,15.189733,0.8624164,1.4819442,8.772035,21.13284,0.41460732,-3.1257262,-4.42722,16.515924,0.81965494,0.13784426,99.357414
GRE11,10.707038,1.184458,18.35678,0.68472064,11.394495,1.1447902,-9.501704,-1.6365511,16.039618,0.6723773,18.287561,0.66687065,13.23858,1.0945253,-15.1089945,-1.0364847
LYO06,14.657114,1.0937737,1.1240255,14.099192,12.227361,1.2358587,-7.9828625,-2.2609286,21.905611,0.62432164,1.4406612,11.065879,14.393741,1.1518371,-13.835255,-1.3931477
OCM06,8.943687,1.8170736,24.308388,0.57045925,17.607756,0.79845554,-6.8363805,-2.187755,15.825404,0.9333084,22.83055,0.61863613,16.921505,0.94318414,-11.317929,-1.4156035
LDV08,18.642231,0.6349762,3.7935722,3.0283,2.1524003,6.568067,-2.9090462,-4.340254,23.225866,0.42767227,3.4710724,3.5264926,1.6378796,9.812139,-5.6650443,-2.3624213
