ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm
SOU01,35.993343,0.151346,33.915077,36.378174,39.64462,5.729542,253.26102,316.132,113.075264,201.11295,550.2167,0.364025,1308.2958,0.17598505,-109.64827,-0.8077976,1645.1785,0.16083235,983.6531,0.36307752,-102.60179,-0.7667771,2710.4146,0.10080517,874.2326,0.42131242,-106.174255,-0.7111619,-23.454517,-0.3021412,-22.68325,13.625492,0.8505146,27.885113,0.39011848
PES05,37.48414,0.16852306,35.536724,37.998634,40.980026,5.443302,412.49384,668.30206,90.44592,97.92044,634.7365,0.33328915,1250.8491,0.18935883,-108.164024,-0.8402439,1733.1357,0.17621228,812.2762,0.492576,-102.35278,-0.8000037,2866.9675,0.102742776,634.1414,0.6471939,-104.768005,-0.7595061,-17.645082,-0.48731068,-3.0991569,9.916382,0.9823347,25.713842,0.42578915
SPC02,36.0968,0.118299596,34.360085,36.187733,38.417694,4.0576096,337.99295,625.13086,62.27284,85.32634,520.71027,0.43376142,1145.4536,0.22901475,-104.66349,-0.8577451,1646.815,0.17104183,729.87415,0.5947621,-92.38445,-0.86691946,2638.4895,0.0962023,872.5548,0.5570662,-90.77033,-0.8926673,-13.1673155,-0.6131657,-6.887396,10.947431,1.2503163,14.673202,0.7797971
BOD03,34.444622,0.24101341,32.118397,37.18078,40.262215,8.143818,279.0895,428.99063,150.07533,280.8174,576.6998,0.41283062,1269.3572,0.19406587,-94.44507,-0.9356792,1646.369,0.17502832,895.54663,0.43425316,-85.48032,-0.91034406,2722.5828,0.10553443,768.7275,0.5694933,-88.90513,-0.8448436,-17.782455,-0.43775967,-8.579746,9.96803,1.2357428,24.838398,0.4401836
BRE11,36.19167,0.16397063,33.729824,36.67772,40.503048,6.773224,272.92026,447.04034,188.90045,389.76627,572.25226,0.3857097,1270.2328,0.1923314,-106.33992,-0.85937434,1667.5815,0.17661645,915.9587,0.5764263,-97.68343,-0.8497565,2706.0005,0.11699842,851.757,0.71149266,-99.20358,-0.82257456,-15.400923,-0.46088672,-7.134967,10.905169,1.1012149,21.28568,0.53220797
LRE10,26.629208,0.19615152,22.748747,26.4705,29.976978,7.2282314,224.25021,336.4224,147.18307,314.92328,615.3989,0.4947942,1109.9467,0.23027839,-49.923237,-1.561917,1667.8042,0.19698867,801.283,0.35245433,-52.305378,-1.3952742,2651.1653,0.11680701,815.03613,0.30382448,-52.79575,-1.377779,-8.039981,-0.71385545,-5.033097,3.4758284,3.340289,12.280048,0.77072567
GRE11,32.348866,0.21049044,29.819557,33.42892,37.50502,7.685463,277.55374,396.26996,115.280975,130.21162,500.3073,0.43783757,1122.1852,0.20351914,-99.13558,-0.91745585,1641.7738,0.19601189,696.3282,0.5696654,-94.967415,-0.8478142,2643.4897,0.11551583,660.79626,0.60035986,-95.113945,-0.8426145,-13.131737,-0.49994093,-5.6660967,8.613738,1.5620276,20.832617,0.5113983
LYO06,34.871986,0.18147011,31.656195,34.912933,39.117836,7.4616413,241.5704,400.41177,216.80992,401.28284,576.8358,0.45263368,1159.6929,0.22929387,-101.535484,-0.8876094,1637.3652,0.19676274,802.14734,0.4697925,-91.80286,-0.8994568,2727.2996,0.11191648,797.4277,0.6340738,-93.27941,-0.8682273,-11.866137,-0.68233234,-0.62767106,8.193664,1.3522604,18.40698,0.60325867
OCM06,36.48517,0.2088713,33.42421,37.10002,41.303944,7.879734,421.61774,648.1716,167.57292,301.42618,544.9928,0.4331592,1153.0331,0.22429086,-116.26476,-0.7528724,1719.0557,0.18559834,774.58875,0.57194644,-103.05197,-0.7543534,2745.9612,0.10189112,641.13184,0.6175485,-101.56319,-0.77266616,-18.619123,-0.57009304,-6.8945656,10.221482,1.7036215,17.743322,0.8800892
LDV08,35.36831,0.20941648,32.45961,36.643185,40.947475,8.487865,314.74704,489.96075,160.19212,250.79135,689.8072,0.35156113,1291.9708,0.18450548,-88.60116,-0.9883307,1702.9811,0.16039582,976.1318,0.42224413,-84.917786,-0.9384617,2741.8188,0.12251602,797.4495,0.47265163,-88.24052,-0.8753623,-13.2817955,-0.53917134,-4.7558317,5.735944,2.4375412,19.163065,0.6686018
