ID,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,equivalentSoundLevel_dBp,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
SOU01,0.43030456,0.77008206,0.11649569,0.3518598,0.68650234,0.57000667,8.079743,5.074975,7.599039,4.5205884,-29.511763,3.7954545,2.5518613,0.22336303,0.19143248,0.16080096,0.25693026
PES05,1.0067245,0.84673154,0.21922886,0.8219254,1.6552979,1.436069,19.724718,11.340756,16.311245,11.151652,-20.254263,3.200178,2.2953372,0.24021791,0.21311304,0.1881462,0.24362902
SPC02,0.7215841,0.7695534,0.17325833,0.6341209,1.1583052,0.98504686,14.010694,8.982575,12.524774,7.7667093,-27.628237,3.5798817,2.515686,0.23865883,0.19134532,0.14791878,0.21853624
BOD03,0.9280326,0.9011845,0.12654018,0.7163755,1.7087278,1.5821877,20.989326,11.887363,15.854536,9.772818,-22.031506,3.2657213,2.373686,0.2707619,0.26043254,0.14156498,0.1607673
BRE11,0.5970176,0.8573363,0.11142555,0.5074517,1.0001686,0.88874304,13.240894,8.39711,10.8389435,6.851847,-28.957777,3.2750454,2.1820521,0.25967827,0.21540883,0.18876436,0.35078225
LRE10,0.7972668,0.86067486,0.23975132,0.595676,1.2083454,0.9685941,18.145681,12.569247,16.693346,15.64844,-29.422691,2.2456846,2.1068513,0.36376658,0.5068028,0.10525477,0.12388649
GRE11,0.73250407,0.8631845,0.15625963,0.5979775,1.1883507,1.032091,16.303417,9.848078,13.345825,9.826394,-27.897474,2.988889,2.8565078,0.20437744,0.1808414,0.14492027,0.22769679
LYO06,0.88895833,0.8444029,0.1569139,0.7799242,1.4705632,1.3136493,18.366505,12.120009,14.452903,9.597724,-25.9766,3.45,2.5006948,0.23775554,0.2546529,0.15648514,0.21304266
OCM06,0.5183071,0.81249595,0.10589908,0.46242642,0.84576154,0.73986244,10.492369,6.3017373,8.691998,6.4982963,-28.2456,2.9778202,2.738348,0.20663264,0.17192638,0.1486062,0.24940193
LDV08,0.7855204,0.7621242,0.25128558,0.6473587,1.2263235,0.97503793,16.440302,11.560854,12.684179,8.710224,-25.432386,3.408242,3.087804,0.20150839,0.20317358,0.11398734,0.13476789
