ID,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
SOU01,0.033132143,2.3378878,1.0851687,0.95581883,9.978458,0.4322871,33.997402,0.22543865,33.749016
PES05,0.029374823,2.5526338,0.9872397,0.99843925,9.409689,0.6003518,26.806625,0.40567267,9.428494
SPC02,0.028227048,2.540531,1.0578619,0.8970433,8.453263,0.5517847,19.614185,0.46081257,13.9113865
BOD03,0.048835788,2.1858897,1.2601979,0.92957586,7.565387,0.88459975,27.355635,0.32370758,16.278763
BRE11,0.04357958,2.1829045,1.1455632,0.8630058,7.9808164,0.66256565,23.692911,0.3595515,13.958259
LRE10,0.04934948,1.5430673,1.5673653,0.56561124,0.2581144,13.285513,15.060335,0.45687774,13.398579
GRE11,0.045029156,2.0405688,1.4054742,0.76434284,5.5005803,0.9629767,20.062744,0.38484776,11.923564
LYO06,0.03734245,2.2329907,1.1990634,0.8777177,6.978522,0.751573,20.66488,0.46098164,8.676438
OCM06,0.035646096,2.147235,1.079542,1.0043299,8.668013,0.7011166,25.327717,0.46626362,12.538924
LDV08,0.04749248,1.944911,1.2924945,0.7835143,6.248296,0.9434431,23.261953,0.40592748,12.611463
SOU06,0.03574481,2.0779114,1.1126447,0.8790877,10.267102,0.43705216,33.115467,0.24509154,32.92008
LOR06,0.05207594,1.9140065,1.2718822,0.85588956,7.6610007,0.83577967,29.11386,0.35372153,15.212353
NOR10,0.058590483,1.6550076,1.2059845,0.72121894,1.7943476,2.4276433,20.267218,0.37738883,9.4902315
UPS10,0.04129626,2.17672,1.121685,0.9073093,8.013247,0.6988841,25.346031,0.35735193,10.933649
HES03,0.039799605,1.6911122,1.4099089,0.65642047,2.4280293,2.1459892,10.460853,0.8567289,6.115545
LOR01,0.06562289,1.8348827,1.4353585,0.74405265,6.267569,0.9132389,28.252337,0.30554602,14.059406
BOD13,0.06480845,1.798768,1.5880566,0.7527957,3.834504,1.3385597,23.03175,0.34584856,14.856913
NOR09,0.062369853,1.7243253,1.3443072,0.6793667,3.5783484,1.4185225,24.074179,0.3491689,11.24303
OCM03,0.036058515,2.0734665,1.1237156,0.78274864,7.04576,0.78954774,24.43834,0.35442,11.129035
PES10,0.040004026,1.8376085,1.7413282,0.71340257,1.9334064,2.1391835,20.406872,0.4847708,6.5451617
CFE04,0.06075711,1.7903092,1.5193603,0.55751646,6.1685386,0.86140645,33.32472,0.2505138,20.42369
SOU04,0.04677761,1.9659723,1.2326244,0.90470666,9.413277,0.57183254,33.446983,0.27883163,33.30655
UCA05,0.0368102,1.9459033,1.1790327,0.8161102,7.684079,0.8143111,20.494392,0.6310053,5.2038436
BOD09,0.047517307,1.9320468,1.3066149,0.7540772,7.149811,0.7981451,21.619736,0.45515636,13.237121
OCM13,0.05559168,1.9835242,1.2751153,0.9875997,6.1736307,1.126067,27.635601,0.3803029,13.081976
LRE07,0.053828537,1.7602319,1.4351056,0.5559453,1.6138341,2.5465856,14.400315,0.5096835,12.523905
POF05,0.025148295,2.3500137,0.95053935,0.9183595,9.021733,0.6287223,24.445175,0.35948807,10.434607
BOD10,0.049627922,1.9225167,1.2918186,0.75317746,6.375807,0.83324164,26.109386,0.32068312,14.695117
LDV10,0.041663677,1.9714396,1.3627622,0.7217507,3.7974734,1.0868285,22.401577,0.31914136,9.494512
OCM18,0.03907583,1.9083655,1.0772787,0.79827636,6.5973167,0.7570971,20.812555,0.5067389,8.25493
SPC10,0.03708472,1.9712294,1.3152916,0.7628905,5.4601808,0.7845877,15.709557,0.59798306,11.707653
LDV05,0.037717134,2.2092478,1.076947,0.8640308,8.179258,0.71290684,26.06722,0.38575432,11.001913
NOR03,0.052038882,1.9394343,1.1782916,0.74116844,5.157603,1.1381034,22.429663,0.3694236,11.701748
CFE10,0.047197882,2.117934,1.3059546,0.6244844,4.510041,1.1214467,29.682924,0.28729656,16.290834
PES06,0.032152005,1.7445505,1.3945053,0.7291968,4.057375,1.2705746,15.596162,0.8010993,6.823438
