,file,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0,SOU01,35.993343,0.151346,33.915077,36.378174,39.64462,5.729542,253.26102,316.132,113.075264,201.11295,0.43030456,0.77008206,0.11649569,0.3518598,0.68650234,0.57000667,8.079743,5.074975,7.599039,4.5205884,0.35948586,0.7913618,20.108643,0.75168896,17.901873,0.62906766,10.800231,1.1637795,6.185403,2.1901033,0.033132143,2.3378878,1.0851687,0.95581883,9.978458,0.4322871,13.625492,0.8505146,27.885113,0.39011848,550.2167,0.364025,1308.2958,0.17598505,-109.64827,-0.8077976,1645.1785,0.16083235,983.6531,0.36307752,-102.60179,-0.7667771,2710.4146,0.10080517,874.2326,0.42131242,-106.174255,-0.7111619,-23.454517,-0.3021412,33.997402,0.22543865,-0.014571033,-2.759101,-0.021234443,-0.5782684,0.4648263,0.6450207,29.079027,0.41573635,18.283669,0.6786411,11.183816,1.3480613,0.65707934,21.48948,-22.68325,33.749016,-0.084426984,-0.0032314023,0.20293182,3.7954545,2.5518613,0.22336303,0.19143248,0.16080096,0.25693026,-29.511763
1,PES05,37.48414,0.16852306,35.536724,37.998634,40.980026,5.443302,412.49384,668.30206,90.44592,97.92044,1.0067245,0.84673154,0.21922886,0.8219254,1.6552979,1.436069,19.724718,11.340756,16.311245,11.151652,0.7694056,1.1917093,14.794387,1.0161147,10.8622055,1.2205946,2.6173499,5.001363,-15.272211,-1.1284398,0.029374823,2.5526338,0.9872397,0.99843925,9.409689,0.6003518,9.916382,0.9823347,25.713842,0.42578915,634.7365,0.33328915,1250.8491,0.18935883,-108.164024,-0.8402439,1733.1357,0.17621228,812.2762,0.492576,-102.35278,-0.8000037,2866.9675,0.102742776,634.1414,0.6471939,-104.768005,-0.7595061,-17.645082,-0.48731068,26.806625,0.40567267,0.08495633,0.39451548,-0.029463029,-0.42784783,1.1743528,0.82820225,23.641314,0.52557814,10.8699,1.2942868,3.954841,3.9192495,-24.269564,-0.6809424,-3.0991569,9.428494,0.033145722,-0.010024684,0.22276756,3.200178,2.2953372,0.24021791,0.21311304,0.1881462,0.24362902,-20.254263
2,SPC02,36.0968,0.118299596,34.360085,36.187733,38.417694,4.0576096,337.99295,625.13086,62.27284,85.32634,0.7215841,0.7695534,0.17325833,0.6341209,1.1583052,0.98504686,14.010694,8.982575,12.524774,7.7667093,0.40965185,0.95141244,17.19268,0.82766974,4.2433724,3.2980917,21.084179,0.7249312,-4.125101,-4.108705,0.028227048,2.540531,1.0578619,0.8970433,8.453263,0.5517847,10.947431,1.2503163,14.673202,0.7797971,520.71027,0.43376142,1145.4536,0.22901475,-104.66349,-0.8577451,1646.815,0.17104183,729.87415,0.5947621,-92.38445,-0.86691946,2638.4895,0.0962023,872.5548,0.5570662,-90.77033,-0.8926673,-13.1673155,-0.6131657,19.614185,0.46081257,0.050459497,0.7213274,-0.021247381,-0.57795286,0.5747368,0.66296464,22.500563,0.56568813,2.5538793,5.9476733,24.842096,0.6677101,-11.130356,-1.4912478,-6.887396,13.9113865,-0.017281024,-0.0061505763,0.13315019,3.5798817,2.515686,0.23865883,0.19134532,0.14791878,0.21853624,-27.628237
3,BOD03,34.444622,0.24101341,32.118397,37.18078,40.262215,8.143818,279.0895,428.99063,150.07533,280.8174,0.9280326,0.9011845,0.12654018,0.7163755,1.7087278,1.5821877,20.989326,11.887363,15.854536,9.772818,0.725925,1.1209323,20.27646,0.6763444,10.359314,1.5322622,10.303736,1.4020584,-9.830577,-1.8762922,0.048835788,2.1858897,1.2601979,0.92957586,7.565387,0.88459975,9.96803,1.2357428,24.838398,0.4401836,576.6998,0.41283062,1269.3572,0.19406587,-94.44507,-0.9356792,1646.369,0.17502832,895.54663,0.43425316,-85.48032,-0.91034406,2722.5828,0.10553443,768.7275,0.5694933,-88.90513,-0.8448436,-17.782455,-0.43775967,27.355635,0.32370758,0.055022247,0.9080158,-0.024886742,-0.51760095,0.98827755,0.8557306,25.910332,0.44009814,8.78518,1.8774369,8.848024,1.8331352,-15.082453,-1.2762469,-8.579746,16.278763,0.014472588,-0.010382952,0.20050764,3.2657213,2.373686,0.2707619,0.26043254,0.14156498,0.1607673,-22.031506
4,BRE11,36.19167,0.16397063,33.729824,36.67772,40.503048,6.773224,272.92026,447.04034,188.90045,389.76627,0.5970176,0.8573363,0.11142555,0.5074517,1.0001686,0.88874304,13.240894,8.39711,10.8389435,6.851847,0.36865604,1.1538848,20.339468,0.67257476,4.3029556,3.5574665,12.1907015,1.1738259,-13.065781,-1.3456519,0.04357958,2.1829045,1.1455632,0.8630058,7.9808164,0.66256565,10.905169,1.1012149,21.28568,0.53220797,572.25226,0.3857097,1270.2328,0.1923314,-106.33992,-0.85937434,1667.5815,0.17661645,915.9587,0.5764263,-97.68343,-0.8497565,2706.0005,0.11699842,851.757,0.71149266,-99.20358,-0.82257456,-15.400923,-0.46088672,23.692911,0.3595515,0.09204762,0.41497567,-0.025178952,-0.4765003,0.5586891,0.8020159,26.232601,0.43694943,1.8633356,9.042344,14.264651,1.1191096,-20.589758,-0.85244596,-7.134967,13.958259,0.059372243,-0.012045965,0.096163526,3.2750454,2.1820521,0.25967827,0.21540883,0.18876436,0.35078225,-28.957777
5,LRE10,26.629208,0.19615152,22.748747,26.4705,29.976978,7.2282314,224.25021,336.4224,147.18307,314.92328,0.7972668,0.86067486,0.23975132,0.595676,1.2083454,0.9685941,18.145681,12.569247,16.693346,15.64844,0.4298341,1.2444853,18.822643,0.5193039,-2.3385942,-5.796689,15.189733,0.8624164,1.4819442,8.772035,0.04934948,1.5430673,1.5673653,0.56561124,0.2581144,13.285513,3.4758284,3.340289,12.280048,0.77072567,615.3989,0.4947942,1109.9467,0.23027839,-49.923237,-1.561917,1667.8042,0.19698867,801.283,0.35245433,-52.305378,-1.3952742,2651.1653,0.11680701,815.03613,0.30382448,-52.79575,-1.377779,-8.039981,-0.71385545,15.060335,0.45687774,0.05670549,0.63634914,-0.017173111,-0.71801025,0.49671352,1.1214467,21.13284,0.41460732,-3.1257262,-4.42722,16.515924,0.81965494,0.13784426,99.357414,-5.033097,13.398579,0.018945869,-0.0039320043,0.18122423,2.2456846,2.1068513,0.36376658,0.5068028,0.10525477,0.12388649,-29.422691
6,GRE11,32.348866,0.21049044,29.819557,33.42892,37.50502,7.685463,277.55374,396.26996,115.280975,130.21162,0.73250407,0.8631845,0.15625963,0.5979775,1.1883507,1.032091,16.303417,9.848078,13.345825,9.826394,0.43590316,1.1183171,10.707038,1.184458,18.35678,0.68472064,11.394495,1.1447902,-9.501704,-1.6365511,0.045029156,2.0405688,1.4054742,0.76434284,5.5005803,0.9629767,8.613738,1.5620276,20.832617,0.5113983,500.3073,0.43783757,1122.1852,0.20351914,-99.13558,-0.91745585,1641.7738,0.19601189,696.3282,0.5696654,-94.967415,-0.8478142,2643.4897,0.11551583,660.79626,0.60035986,-95.113945,-0.8426145,-13.131737,-0.49994093,20.062744,0.38484776,0.044598717,0.9611543,-0.025455134,-0.46552464,0.61268485,0.8364107,16.039618,0.6723773,18.287561,0.66687065,13.23858,1.0945253,-15.1089945,-1.0364847,-5.6660967,11.923564,-0.008642951,-0.0101649575,0.15911537,2.988889,2.8565078,0.20437744,0.1808414,0.14492027,0.22769679,-27.897474
7,LYO06,34.871986,0.18147011,31.656195,34.912933,39.117836,7.4616413,241.5704,400.41177,216.80992,401.28284,0.88895833,0.8444029,0.1569139,0.7799242,1.4705632,1.3136493,18.366505,12.120009,14.452903,9.597724,0.5403918,1.1021361,14.657114,1.0937737,1.1240255,14.099192,12.227361,1.2358587,-7.9828625,-2.2609286,0.03734245,2.2329907,1.1990634,0.8777177,6.978522,0.751573,8.193664,1.3522604,18.40698,0.60325867,576.8358,0.45263368,1159.6929,0.22929387,-101.535484,-0.8876094,1637.3652,0.19676274,802.14734,0.4697925,-91.80286,-0.8994568,2727.2996,0.11191648,797.4277,0.6340738,-93.27941,-0.8682273,-11.866137,-0.68233234,20.66488,0.46098164,0.07058873,0.57855517,-0.017068526,-0.80850625,0.72541857,0.82660663,21.905611,0.62432164,1.4406612,11.065879,14.393741,1.1518371,-13.835255,-1.3931477,-0.62767106,8.676438,0.033543155,0.00094153045,0.23767546,3.45,2.5006948,0.23775554,0.2546529,0.15648514,0.21304266,-25.9766
8,OCM06,36.48517,0.2088713,33.42421,37.10002,41.303944,7.879734,421.61774,648.1716,167.57292,301.42618,0.5183071,0.81249595,0.10589908,0.46242642,0.84576154,0.73986244,10.492369,6.3017373,8.691998,6.4982963,0.32783663,1.1580801,8.943687,1.8170736,24.308388,0.57045925,17.607756,0.79845554,-6.8363805,-2.187755,0.035646096,2.147235,1.079542,1.0043299,8.668013,0.7011166,10.221482,1.7036215,17.743322,0.8800892,544.9928,0.4331592,1153.0331,0.22429086,-116.26476,-0.7528724,1719.0557,0.18559834,774.58875,0.57194644,-103.05197,-0.7543534,2745.9612,0.10189112,641.13184,0.6175485,-101.56319,-0.77266616,-18.619123,-0.57009304,25.327717,0.46626362,0.035052456,1.3359846,-0.027248671,-0.46305257,0.46293375,0.8742165,15.825404,0.9333084,22.83055,0.61863613,16.921505,0.94318414,-11.317929,-1.4156035,-6.8945656,12.538924,-0.006041255,-0.015550455,0.13006273,2.9778202,2.738348,0.20663264,0.17192638,0.1486062,0.24940193,-28.2456
9,LDV08,35.36831,0.20941648,32.45961,36.643185,40.947475,8.487865,314.74704,489.96075,160.19212,250.79135,0.7855204,0.7621242,0.25128558,0.6473587,1.2263235,0.97503793,16.440302,11.560854,12.684179,8.710224,0.5401103,1.093912,18.642231,0.6349762,3.7935722,3.0283,2.1524003,6.568067,-2.9090462,-4.340254,0.04749248,1.944911,1.2924945,0.7835143,6.248296,0.9434431,5.735944,2.4375412,19.163065,0.6686018,689.8072,0.35156113,1291.9708,0.18450548,-88.60116,-0.9883307,1702.9811,0.16039582,976.1318,0.42224413,-84.917786,-0.9384617,2741.8188,0.12251602,797.4495,0.47265163,-88.24052,-0.8753623,-13.2817955,-0.53917134,23.261953,0.40592748,0.07382385,0.47538742,-0.018181596,-0.74562943,0.72885036,0.86567986,23.225866,0.42767227,3.4710724,3.5264926,1.6378796,9.812139,-5.6650443,-2.3624213,-4.7558317,12.611463,0.04188943,-0.00523678,0.1878169,3.408242,3.087804,0.20150839,0.20317358,0.11398734,0.13476789,-25.432386
