,label
ALS01,0
ALS02,1
ALS03,0
ALS04,0
ALS05,0
ALS06,1
ALS07,1
ALS08,1
ALS09,1
ALS10,0
ALS11,1
ANT01,1
ANT02,1
BFC01,0
BFC02,1
BFC03,1
BFC04,1
BFC05,1
BFC06,1
BFC07,1
BFC08,0
BFC09,1
BFC10,0
BOD01,0
BOD02,0
BOD03,1
BOD04,1
BOD05,0
BOD06,1
BOD07,1
BOD08,0
BOD09,1
BOD10,0
BOD11,0
BOD12,0
BOD13,0
BOD14,1
BOD15,1
BOD16,0
BRE01,1
BRE02,1
BRE03,1
BRE04,1
BRE05,1
BRE06,0
BRE07,0
BRE08,1
BRE09,1
BRE10,1
BRE11,0
BRE12,1
BRE13,1
BRE14,0
BRE15,1
BRE16,1
CFE01,1
CFE02,0
CFE03,1
CFE04,1
CFE05,1
CFE06,0
CFE07,1
CFE08,0
CFE09,1
CFE10,1
CFE11,1
CVL01,1
CVL02,0
CVL03,1
CVL04,1
GRE01,0
GRE02,0
GRE03,0
GRE04,0
GRE05,1
GRE06,1
GRE07,0
GRE08,1
GRE09,1
GRE10,0
GRE11,1
GRE12,1
GRE13,1
GRE14,1
GRE15,1
HES01,1
HES02,0
HES03,1
HES04,0
HES05,0
HES06,0
HES07,1
HES08,0
LDV01,1
LDV02,1
LDV03,0
LDV04,0
LDV05,0
LDV06,0
LDV07,1
LDV08,0
LDV09,1
LDV10,0
LOR01,0
LOR02,0
LOR03,0
LOR04,1
LOR05,1
LOR06,0
LOR07,0
LOR08,0
LOR09,0
LOR10,0
LRE01,1
LRE02,0
LRE03,0
LRE04,1
LRE05,1
LRE06,0
LRE07,0
LRE08,0
LRE09,0
LRE10,1
LRE11,1
LYO01,0
LYO02,0
LYO03,1
LYO04,0
LYO05,0
LYO06,1
LYO07,1
LYO08,0
LYO09,1
LYO10,1
LYO11,1
LYO12,1
LYO13,1
LYO14,1
NOR01,1
NOR02,1
NOR03,1
NOR04,0
NOR05,0
NOR06,0
NOR07,0
NOR08,0
NOR09,0
NOR10,1
NOR11,1
NOR12,0
OCM01,1
OCM02,1
OCM03,0
OCM04,0
OCM05,1
OCM06,0
OCM07,1
OCM08,1
OCM09,1
OCM10,1
OCM11,0
OCM12,0
OCM13,0
OCM14,0
OCM15,1
OCM16,0
OCM17,1
OCM18,0
OCM19,1
OCM20,1
PES01,1
PES02,0
PES03,0
PES04,0
PES05,1
PES06,1
PES07,1
PES08,0
PES09,1
PES10,1
PES11,1
POF01,0
POF02,1
POF03,1
POF04,0
POF05,0
SEN01,0
SEN02,1
SOU01,0
SOU02,1
SOU03,0
SOU04,0
SOU05,0
SOU06,1
SOU07,0
SOU08,1
SOU09,0
SOU10,1
SOU11,1
SOU12,0
SOU13,1
SOU14,0
SOU15,0
SOU16,1
SPC01,1
SPC02,1
SPC03,0
SPC04,1
SPC05,1
SPC06,1
SPC07,0
SPC08,0
SPC09,0
SPC10,0
SPC11,0
SPC12,0
UCA01,1
UCA02,0
UCA03,1
UCA04,0
UCA05,1
UCA06,0
UCA07,1
UCA08,1
UCA09,0
UCA10,1
UCA11,1
UCA12,1
UCA13,1
UCA14,1
UCA15,1
UPL01,1
UPL02,0
UPS01,0
UPS02,1
UPS03,1
UPS04,0
UPS05,1
UPS06,0
UPS07,1
UPS08,1
UPS09,0
UPS10,0
UPS11,0
UPS12,1
UPS13,1
UPS14,0
UPS15,0
