,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD
BOD09,0.025,0.4031128874149275,0.570087712549569,0.4101406409964348,62.81703385276733
LYO06,0.023575638506876228,0.3761034844843336,0.5318906486135235,0.3987047534434669,57.482695810564664
LDV02,0.016049382716049384,0.32298759674996963,0.4567734398020992,0.38299779612972235,52.77272727272727
UPS06,0.028888888888888888,0.43333333333333335,0.6128258770283411,0.4198470143357533,84.11764705882354
LRE06,0.0326975476839237,0.44292808231533737,0.6263949011662566,0.42078821141275435,73.4
ANT01,0.023529411764705882,0.3757345746510897,0.5313689313240572,0.3985792337256818,41.10929319371728
UPS12,0.02127659574468085,0.3420837274641176,0.4837794468468967,0.38378342161857004,73.88824714977589
BOD12,0.02181818181818182,0.3618136134933163,0.511681719253465,0.3938096406672347,46.32963988919668
OCM08,0.028708133971291867,0.4150286783196448,0.5869391856534222,0.41171639372412366,66.65340253748559
UPS10,0.021621621621621623,0.3601801351125985,0.5093716319736106,0.39324563837919596,37.28143328445748
BRE14,0.02553191489361702,0.3913968438320653,0.553518724817331,0.4038704057348137,45.29710144927536
LOR01,0.022429906542056073,0.36685070430944583,0.5188052414005403,0.39554300221584243,49.28484848484848
AMU09,0.03170731707317073,0.45397969225022583,0.6420242378222333,0.4263434763047549,78.07655502392345
BFC07,0.019417475728155338,0.34132807439314455,0.4827107920254778,0.38666632115465216,49.519230769230774
HES07,0.024253731343283583,0.39705069415799193,0.5615144766278841,0.40816273041256573,50.00456707897241
LRE10,0.02459016393442623,0.3841106397986879,0.5432144762551112,0.40141842327427113,44.36363636363637
BRE12,0.030303030303030304,0.4264014327112209,0.6030226891555273,0.4154379820599051,73.06296900489397
GRE03,0.03,0.4242640687119285,0.6,0.4147411088308015,54.98281786941581
BOD10,0.0262582056892779,0.3969247209933735,0.5613363236699856,0.40572001705139626,47.76802670623145
LDV05,0.016149068322981366,0.32398911108149747,0.4581897949526569,0.383352237448218,51.246488118681896
SEN02,0.020522388059701493,0.33596597197983935,0.47512763406974806,0.3815792615716172,67.0
HES03,0.03735632183908046,0.4927637283262872,0.6968731476445666,0.4382878696227855,81.95125348189416
OCM11,0.029484029484029485,0.42059978233966894,0.5948179165159316,0.41354366879105564,37.81525423728813
NOR12,0.022033898305084745,0.3784446313307283,0.5352015302352019,0.40202195845409255,42.553157032351486
BOD01,0.024528301886792454,0.3992918259420683,0.5646839155919902,0.40889520945251123,53.0
SEN01,0.025,0.3872983346207417,0.5477225575051661,0.4024931554103401,60.227272727272734
BOD03,0.029545454545454545,0.43822991060110733,0.619750683009635,0.42139712286718417,47.2891215823153
LYO03,0.020134228187919462,0.34757066781809537,0.4915391523114243,0.38885963444146265,55.894186902133924
POF04,0.024528301886792454,0.3992918259420683,0.5646839155919902,0.40889520945251123,77.32522796352583
BFC05,0.01911764705882353,0.3525119939553163,0.49852724275079074,0.39327090810194587,54.016786570743406
OCM05,0.02037351443123939,0.349629928048839,0.4944513860581975,0.389579902352247,51.98618097103828
BOD11,0.02727272727272727,0.40451991747794525,0.5720775535473553,0.408246856713973,60.18918263400437
CVL04,0.025,0.3872983346207417,0.5477225575051661,0.4024931554103401,48.887875332573174
PES09,0.024528301886792454,0.3992918259420683,0.5646839155919902,0.40889520945251123,61.280283129013426
BOD05,0.023636363636363636,0.39196474795109265,0.554321862524587,0.4064948616390716,53.95038167938931
OCM19,0.025145067698259187,0.4042807688212299,0.5717393462736052,0.41052044759909506,57.974053492745085
OCM14,0.023076923076923078,0.3721042037676254,0.5262348115842176,0.39734164855753373,43.36232412926246
UPS11,0.03255813953488372,0.47739603762933147,0.6751399510385769,0.43521616264281116,74.09802979336857
AMU10,0.022132796780684104,0.34889881383255317,0.4934174344178822,0.3862221958156801,41.416666666666664
BFC08,0.01870503597122302,0.34868715751078305,0.493118107177073,0.3919596440162866,61.87099207846096
OCM12,0.022222222222222223,0.36514837167011077,0.5163977794943223,0.3949581725430177,47.964454086528434
PES08,0.027522935779816515,0.4063712768871578,0.5746957711326908,0.40886030310640875,61.32332685855553
GRE14,0.022641509433962263,0.3685770701003707,0.5212466913156832,0.39613508238641276,46.17424242424242
LRE04,0.025590551181102362,0.40784627333980306,0.576781731120474,0.41167755317824134,53.897312474929805
CFE09,0.025,0.4031128874149275,0.570087712549569,0.4101406409964348,55.80017037848363
NOR06,0.026530612244897958,0.4152697672499609,0.5872801368884133,0.41407515257959565,54.91379310344828
BOD13,0.026200873362445413,0.39649116027305387,0.5607231762191973,0.40557527427399526,40.60830527497194
PES05,0.02926829268292683,0.4190581774617469,0.5926377579897538,0.41303885251438344,52.986915486915485
BRE11,0.027160493827160494,0.3865006029094686,0.5465943944999485,0.3993904692071418,64.85501567398119
