,emb_axis_0,emb_axis_1,emb_axis_2,emb_axis_3,emb_axis_4,emb_axis_5,emb_axis_6,emb_axis_7,emb_axis_8,emb_axis_9,emb_axis_10,emb_axis_11,emb_axis_12,emb_axis_13,emb_axis_14,emb_axis_15,emb_axis_16,emb_axis_17,emb_axis_18,emb_axis_19,emb_axis_20,emb_axis_21,emb_axis_22,emb_axis_23,emb_axis_24,emb_axis_25,emb_axis_26,emb_axis_27,emb_axis_28,emb_axis_29,emb_axis_30,emb_axis_31,emb_axis_32,emb_axis_33,emb_axis_34,emb_axis_35,emb_axis_36,emb_axis_37,emb_axis_38,emb_axis_39,emb_axis_40,emb_axis_41,emb_axis_42,emb_axis_43,emb_axis_44,emb_axis_45,emb_axis_46,emb_axis_47,emb_axis_48,emb_axis_49,emb_axis_50,emb_axis_51,emb_axis_52,emb_axis_53,emb_axis_54,emb_axis_55,emb_axis_56,emb_axis_57,emb_axis_58,emb_axis_59,emb_axis_60,emb_axis_61,emb_axis_62,emb_axis_63,emb_axis_64,emb_axis_65,emb_axis_66,emb_axis_67,emb_axis_68,emb_axis_69,emb_axis_70,emb_axis_71,emb_axis_72,emb_axis_73,emb_axis_74,emb_axis_75,emb_axis_76,emb_axis_77,emb_axis_78,emb_axis_79,emb_axis_80,emb_axis_81,emb_axis_82,emb_axis_83,emb_axis_84,emb_axis_85,emb_axis_86,emb_axis_87,emb_axis_88,emb_axis_89,emb_axis_90,emb_axis_91,emb_axis_92,emb_axis_93,emb_axis_94,emb_axis_95,emb_axis_96,emb_axis_97,emb_axis_98,emb_axis_99
BOD09,0.7774698,0.21361375,0.50749034,0.35516864,0.98563683,0.7818898,0.53016436,-1.680648,-0.76119107,0.2397517,-0.35216665,1.1660169,1.7393764,0.7356216,0.7052642,0.95630795,0.71565807,-0.14216816,1.5335091,-1.5629379,0.5643168,-0.6734171,-0.6846543,-0.17805533,0.9748209,-2.4082758,1.2463775,-0.024406143,-0.28928295,-2.068686,0.61618584,0.95451635,0.07217162,0.35580692,1.5038899,1.3373777,-0.043056358,1.2122132,0.7187135,1.0333843,0.31334242,0.31791568,-2.6654472,-0.79923207,-1.2991885,0.23516108,-2.2317307,-1.4258034,-1.070235,0.83190614,-1.2234597,-0.121189766,1.6174526,1.5947119,1.0922153,-1.6123464,-1.48645,0.3726423,0.18346782,-1.7601802,-0.23343426,-0.33871436,1.5362879,0.7077083,1.8031665,0.7504083,-0.55360824,0.43280068,0.794975,1.4011066,0.48974442,-1.4347404,0.44909602,0.8791177,-0.08932638,-0.79489744,0.21341321,0.43085274,0.9149537,-1.2786603,1.3533118,0.9041369,1.9666107,-0.17454238,-0.053737346,-0.0002508997,1.5783517,-0.14429502,0.41762844,1.0048523,1.4274845,1.2278444,-0.6292382,-0.8841669,0.3507878,0.88836426,0.7647436,-0.19610535,-0.96166307,0.622986
LYO06,-0.49434325,-0.9831297,-0.006857135,0.6038052,0.98172104,-0.2793612,-0.20588847,-1.0080601,-0.95625305,0.47615814,0.47673163,0.90011144,1.1799102,0.7728129,1.6106663,0.73268694,0.1253625,-0.84594744,0.77590835,-1.178302,0.2734468,0.26784167,-0.2318891,-0.38848108,0.30581126,-2.6674,1.6704167,0.097969286,0.42661035,-0.7866529,0.13227132,0.7749573,-0.5988718,-1.2676393,0.88007903,0.98691654,0.28036037,0.08840405,-0.3548628,0.84116805,1.4765872,0.7829751,-3.6713817,-0.69571424,-0.98713905,-0.1165271,-1.1872649,-0.6278343,-1.8084034,-0.4668631,0.68414325,0.09433758,0.63718164,-0.23394316,0.041236162,-1.929295,-1.5424297,1.2503573,0.85530174,-0.85740936,-0.06466852,-0.77563334,0.4822816,1.1732705,2.33611,0.49666482,0.42764804,-0.22078568,0.2869509,1.9273709,-1.8276088,-1.6505253,0.16923305,0.13045946,-1.8688838,-0.38590592,0.32776836,1.5874532,-0.4060177,-0.2446279,0.5147935,1.858727,0.538186,0.054976232,-0.273006,0.036719367,0.12880352,-0.73149604,1.1085893,0.13802075,1.9954724,0.026008511,-0.7518422,-1.1741446,1.1434836,0.98876756,0.7051732,0.24013926,1.064892,-0.26524234
LDV02,0.38130063,-0.32947677,-1.1841795,-0.05876225,0.9988853,-0.091538765,0.21732093,-0.34527022,0.21411665,-0.09223288,-0.33158183,-0.0388211,1.3099006,-0.31710583,0.99176157,-0.52946293,0.222675,-1.6767877,2.3216906,-0.22834894,0.18317759,0.45220435,-0.3280756,-0.55730104,0.70395046,-0.8941617,0.5840952,0.4878536,-1.4450629,-0.5607159,0.6750584,-0.6169941,-0.2372685,-0.32832953,-1.0921848,0.13091704,0.5824554,0.19175898,0.61993325,-0.4259936,-0.011029225,-0.35865152,-1.8692453,-0.037574306,-1.112497,0.19419456,-1.4170539,-1.7600337,-0.39179787,-0.27771422,-1.0327011,0.069938466,0.42732665,1.1478511,0.6884784,-2.2220914,-1.7420019,0.74202496,0.6790213,-0.90726626,-0.49056432,-0.12453274,1.1370119,0.676632,1.8593525,-0.5090768,-0.099493615,-0.6385745,-0.48343065,1.4618012,-0.42384276,-1.357828,0.31010106,-0.4896853,-0.954911,0.19230427,0.10149343,0.8400235,0.8416998,-0.64646786,-0.32653663,0.67643124,0.1553318,0.46972436,0.65491897,0.7519944,1.3326659,-0.004499803,0.92670983,-0.2534441,0.67373526,0.61924756,-1.202526,-0.101322,0.4479205,0.22900836,-0.6226007,0.68998224,-0.5904046,-0.5682417
UPS06,0.55078924,0.47953698,-1.2315321,-0.68324524,0.911048,0.47234797,0.72293997,-0.9928901,-0.46558785,-0.2864674,0.74996835,-0.87340504,1.6696106,-0.29277295,0.9055772,-0.45595938,-0.2601547,-1.5131986,1.2020652,0.1051187,0.011265689,0.9033442,-1.0070927,0.52133936,-0.32182324,-2.067192,1.0266087,-0.74932057,-0.6955424,-1.7060019,-0.08513645,0.7490154,-0.34496695,0.7485608,1.6519865,0.7303518,-0.71637166,0.8684835,-0.26611346,-0.8048493,1.1160318,-1.2093253,-3.8460562,-1.3228511,-1.353913,-0.15308318,-1.3922888,-0.012132159,-0.9261542,0.11042398,0.35662535,-0.67782354,-0.06494768,0.7016047,-0.1630023,-2.5042489,-0.70152104,1.3994863,1.1838607,-0.8474161,0.7127664,-0.7890208,-0.19939673,1.475998,1.4441274,-0.100423545,0.37074903,0.4620525,0.39557946,1.7475617,-0.32066065,-2.573791,-0.46055108,-0.7393854,-1.4571917,-0.22719829,-0.1445965,0.8936362,-0.18476747,-0.9966726,1.2120501,2.336217,0.9663902,0.7701163,0.2255919,-0.41316548,0.4712671,-0.227821,0.49294513,-0.37625352,0.8159123,0.60443956,-0.92438215,-0.28200614,0.18708159,0.7099546,0.04072124,-0.119508386,-0.69530994,-0.3608964
LRE06,1.2930572,0.37605625,0.22311401,0.84154373,1.0760336,-0.56835216,1.4835086,-1.7537222,0.5194773,-0.2510927,0.72883344,0.26092386,2.4868774,0.32227853,1.4242855,-0.22981872,1.1754501,-0.69370174,1.3745415,-0.088924155,0.9895131,-0.45530376,-1.1281012,0.6984771,1.2106975,0.26628748,0.783035,0.053325027,-2.1917279,0.042713903,0.5197017,0.09368482,-1.1669184,-0.81574607,-0.6099946,0.09210294,1.4290653,1.9061178,1.0047615,-0.11025649,-0.2666939,-1.5994291,-3.0187047,-0.19241695,-0.6234856,-0.645415,-1.5168469,-1.5320706,-2.1189942,1.0199884,-0.11355015,-0.7532285,1.0143975,0.92911685,0.040475443,-2.8669212,-2.32564,0.993127,-0.5732609,-1.6983855,0.3012192,-0.55418694,0.11633797,0.7038812,1.424042,-0.7775429,-1.3486167,-0.14860766,1.7544518,1.3579944,-0.09031508,-1.1898378,-0.25172547,-0.088471904,-0.77399176,-0.52943045,-0.72333896,1.8767757,1.3400762,0.82866305,0.6213783,1.6389295,0.29974538,-0.16627173,0.86455315,0.98482513,0.41107073,0.05500711,0.60451776,-1.2511811,1.4198939,0.02990148,-0.99416447,0.45335215,1.0324397,1.3721032,-0.7766288,-0.8995593,0.124506846,-0.3839529
ANT01,-0.42157593,0.4088244,-0.12642513,-0.023221148,0.55803514,-0.15334314,0.329906,-0.59449697,-0.7231512,-0.09991929,1.9092027,-0.060819,1.4601173,-0.074076176,0.44766912,-0.034317598,0.4332825,-0.5508415,0.9041789,-0.60418427,-0.32441813,-0.11805957,-1.2317499,0.318503,0.44103548,-1.5601604,1.9480512,-0.53261894,0.9981217,-1.1953009,0.441832,0.7729868,0.023522547,0.39423895,0.26534456,1.7674433,0.5562261,0.43765187,-0.14972545,-0.041247748,0.41554385,0.3287353,-3.343365,-0.9986623,-0.15617189,0.37723213,-1.0785346,0.5577269,-2.0236337,-1.0958844,0.1284414,-0.9982372,-0.120925814,1.1135476,-0.05136834,-2.3830628,-0.07752073,1.842465,1.8258884,-0.8195264,0.09563823,-1.5388238,0.5489417,0.7710254,0.82219714,-0.50002605,0.29654706,0.46612892,-0.3693835,1.7748758,-1.2820882,-2.243493,-0.6357068,-0.30068696,-2.6027129,-0.7360274,-0.17322601,0.2634613,0.6301457,-0.7554143,0.8411887,1.419638,0.31203082,0.5946812,-1.0703933,-1.137485,1.3510947,-0.15488218,0.16135535,-0.0494642,1.1561961,0.32205656,-0.9437743,-1.2839779,0.34377912,1.3213383,-0.09053383,-0.96733016,0.5972085,0.8368077
UPS12,0.85616255,0.7738842,0.63037324,-0.12908334,0.22683951,-0.0019350221,0.08945764,-0.77968675,-0.34290162,0.111692995,0.7677971,-0.13683672,2.2158523,1.634832,0.5477429,-0.8585368,0.37188476,-0.3298534,0.26406628,0.30060259,0.340311,0.75764465,-0.5041327,0.053976037,0.47563457,-2.112924,2.076023,-0.28033364,-1.0136691,-0.78384084,0.13669257,0.544096,-0.9462458,-0.29450688,0.14333068,0.6402159,0.6785625,1.4207854,-0.7059641,0.38307983,0.21973637,0.09251613,-4.5996127,-1.7939605,-0.2541268,-0.3045079,-0.42065674,-0.787376,-1.8400009,-0.4073782,0.0589363,0.5061634,-0.35526666,0.12889461,-0.27574274,-2.6812778,-1.0550975,2.2823617,1.4250243,-1.468725,1.0034915,-0.2793935,-0.061272398,0.3914917,1.2028478,-0.27044955,0.8635136,0.99825203,0.37359428,0.3397149,-0.7674679,-1.7194209,-0.4443234,-0.6305587,-1.3291781,-0.53214645,0.4207995,0.8302139,0.7191105,-0.5208181,0.782356,2.0999646,0.70815444,-0.22445656,-1.1076263,-0.8781636,0.67111224,-0.011444723,-0.17303008,-0.41410682,2.5935404,0.67516935,-0.09920381,0.008256348,0.27051947,0.30166677,0.85544705,0.0002257569,0.17762452,0.16414055
BOD12,0.2658819,0.45737913,-0.63940024,0.11580589,0.5233191,-0.38327318,0.55111325,-0.97692525,-0.49368143,-0.9348936,0.43501756,0.788096,1.2345397,-0.42918482,0.9597391,0.4102695,-0.03530842,-1.021715,0.6536802,0.59194034,0.5132477,0.54974383,-2.2126622,1.1001594,0.1572405,-1.3864421,0.32542005,0.35886452,-1.4895251,-0.4723398,0.3261829,0.90640193,-1.0958825,-0.4824473,-0.49963263,0.6366199,0.2267814,1.2727991,-0.32591194,-0.17532386,0.8161987,-0.8475734,-2.3941226,-1.44766,-1.9817684,1.470856,-2.213108,0.34362546,-1.6395621,0.047302652,-0.40589318,-1.2014868,1.1370052,0.91308326,-0.21280737,-2.0980995,-1.5950623,0.69239974,0.6722193,-2.127591,-0.4869068,-0.7261724,0.80959415,1.8222828,1.082953,-0.6484281,0.44771108,1.2965264,-0.4202905,1.8376496,-0.932158,-1.5746787,0.4536456,-0.38442767,-0.84819996,0.70142853,0.20437035,1.7812593,1.6236849,0.5071996,0.25015718,1.3685797,-0.07175933,0.8096571,1.3834755,-0.23376064,0.6643319,-0.1927524,1.000479,0.45602992,1.2601262,-0.30140924,-1.642464,-0.7454546,1.1699177,1.3643371,0.33113587,-0.33359957,-1.312136,1.2515808
OCM08,0.40694818,0.13591735,0.47606915,0.41240585,0.11165021,0.23202075,0.41007486,-0.7071891,-0.9091261,-0.068979606,0.086103246,0.0068984483,0.52967477,0.36549506,0.83559006,-0.21570621,-0.52737033,-0.5743163,0.5283538,-0.7419009,-0.021429915,0.68644714,-0.36200675,0.18452217,0.3565917,-0.888862,1.5879872,0.40085787,-0.76343757,-1.4479355,0.10760026,0.76165605,0.64201087,0.192725,0.29804236,0.13938513,0.14786638,0.627333,0.12902315,-0.14727235,0.31499666,-0.61491865,-2.2222557,-0.20676816,-0.41371125,-0.13863222,-0.18497838,-0.40219072,-0.22959276,-0.0452227,0.14804621,-0.7829807,0.7438758,1.1819543,-0.32941,-1.9648602,-1.1156387,-0.47906715,1.7026782,-0.98456055,0.18211128,-0.45971295,1.1214921,0.5401714,0.6987575,-0.24385001,0.1602204,0.30014783,-0.5028094,1.3618822,-0.5022052,-1.5749277,-0.2641933,-0.46770483,-0.64290535,0.6425034,0.29112485,0.38892043,0.08551606,-0.032423656,1.2076911,0.9996075,-0.26961565,-0.21787389,-0.33588842,-0.2345378,0.84198534,-0.54058623,0.024551779,0.3365711,1.5900763,-0.5071762,-1.4823931,-1.14522,0.99579746,1.6649283,0.6825125,-1.1745118,0.7274508,-0.115497656
UPS10,0.6585998,-0.28425178,0.2749302,0.25678965,1.8653177,-0.68061274,1.1344327,-2.379549,-0.6400542,-0.6438436,-0.8683687,1.4709824,0.7623022,-0.7071335,1.4680221,-0.25776023,0.68897283,0.8238412,0.70406353,-0.09147857,1.2045822,0.12203513,-1.1091685,0.043058857,0.62969035,-1.1013377,1.8101317,0.78999245,-1.0287459,-0.4327226,1.1718634,1.1273965,0.27188066,-0.6427025,0.44474646,1.6629112,1.0490067,1.6604687,0.6410164,-0.109818324,0.52284837,-0.940842,-3.8654206,-1.2077076,-1.4890958,0.6881051,-0.9134012,-0.84564495,-2.4919991,1.3378332,-0.2038971,-0.3104687,0.040583067,0.56486577,0.8632515,-2.267907,-1.6023902,1.4025248,0.025080975,-0.76514333,-0.6985757,-0.59416187,0.9766058,0.98765,1.9302268,0.047189046,0.21380785,0.86655414,0.020045558,0.94778293,0.3253694,-0.64851844,0.34946153,0.5554474,0.07415318,0.7874516,0.530842,0.6391534,0.64731157,-0.53424424,-0.09672602,2.1575723,0.46073657,1.3013414,2.1787102,0.93421066,1.0848974,-1.0623732,2.2227569,0.1803372,2.5108173,0.38688007,-1.664109,-1.0599704,0.14069234,0.089258574,-0.2166745,0.593566,-0.7000654,0.2758465
