,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent
BOD09,0.46153846153846156,0.09615384615384616,0.046153846153846156,24,0.20833333333333334,0.09615384615384616
LYO06,0.5098039215686274,0.09803921568627451,0.05108055009823183,26,0.19230769230769232,0.0
LDV02,0.32098765432098764,0.037037037037037035,0.03209876543209877,26,0.11538461538461539,0.0
UPS06,0.3333333333333333,0.1111111111111111,0.03333333333333333,15,0.3333333333333333,0.0
LRE06,0.3783783783783784,0.10810810810810811,0.03814713896457766,14,0.2857142857142857,0.0
ANT01,0.3333333333333333,0.09803921568627451,0.03333333333333333,17,0.29411764705882354,0.0196078431372549
UPS12,0.28846153846153844,0.07692307692307693,0.029013539651837523,15,0.26666666666666666,0.0
BOD12,0.32727272727272727,0.03636363636363636,0.03272727272727273,18,0.1111111111111111,0.01818181818181818
OCM08,0.5714285714285714,0.09523809523809523,0.05741626794258373,24,0.16666666666666666,0.0
UPS10,0.32142857142857145,0.07142857142857142,0.032432432432432434,18,0.2222222222222222,0.017857142857142856
BRE14,0.2553191489361702,0.06382978723404255,0.02553191489361702,12,0.25,0.02127659574468085
LOR01,0.25925925925925924,0.05555555555555555,0.026168224299065422,14,0.21428571428571427,0.018518518518518517
AMU09,0.3170731707317073,0.07317073170731707,0.03170731707317073,13,0.23076923076923078,0.024390243902439025
BFC07,0.3709677419354839,0.06451612903225806,0.0372168284789644,23,0.17391304347826086,0.0
HES07,0.2962962962962963,0.05555555555555555,0.029850746268656716,16,0.1875,0.0
LRE10,0.4489795918367347,0.10204081632653061,0.045081967213114756,22,0.22727272727272727,0.0
BRE12,0.325,0.1,0.03282828282828283,13,0.3076923076923077,0.0
GRE03,0.325,0.05,0.0325,13,0.15384615384615385,0.0
BOD10,0.3695652173913043,0.06521739130434782,0.037199124726477024,17,0.17647058823529413,0.043478260869565216
LDV05,0.4074074074074074,0.06172839506172839,0.040993788819875775,33,0.15151515151515152,0.0
SEN02,0.4074074074074074,0.05555555555555555,0.041044776119402986,22,0.13636363636363635,0.0
HES03,0.37142857142857144,0.08571428571428572,0.03735632183908046,13,0.23076923076923078,0.0
OCM11,0.2682926829268293,0.07317073170731707,0.02702702702702703,11,0.2727272727272727,0.024390243902439025
NOR12,0.2711864406779661,0.06779661016949153,0.02711864406779661,16,0.25,0.03389830508474576
BOD01,0.3018867924528302,0.03773584905660377,0.03018867924528302,16,0.125,0.018867924528301886
SEN01,0.5208333333333334,0.10416666666666667,0.052083333333333336,25,0.2,0.0
BOD03,0.3409090909090909,0.09090909090909091,0.03409090909090909,15,0.26666666666666666,0.022727272727272728
LYO03,0.3333333333333333,0.03333333333333333,0.03355704697986577,20,0.1,0.0
POF04,0.39622641509433965,0.07547169811320754,0.03962264150943396,21,0.19047619047619047,0.0
BFC05,0.36764705882352944,0.058823529411764705,0.03676470588235294,25,0.16,0.0
OCM05,0.3898305084745763,0.05084745762711865,0.03904923599320883,23,0.13043478260869565,0.0
