,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
BOD09,0.1134020618556701,0.21153846153846154,0.021153846153846155,0.21153846153846154,0.021153846153846155,0.0,0.0,0.0,0.0,0.07216494845360824
LYO06,0.10752688172043011,0.19607843137254902,0.019646365422396856,0.19607843137254902,0.019646365422396856,0.0,0.0,0.0,0.0,0.07526881720430108
LDV02,0.13986013986013987,0.24691358024691357,0.024691358024691357,0.24691358024691357,0.024691358024691357,0.0,0.0,0.0,0.0,0.07692307692307693
UPS06,0.15555555555555556,0.3111111111111111,0.03111111111111111,0.3111111111111111,0.03111111111111111,0.0,0.0,0.0,0.0,0.12222222222222222
LRE06,0.19672131147540983,0.32432432432432434,0.0326975476839237,0.32432432432432434,0.0326975476839237,0.0,0.0,0.0,0.0,0.06557377049180328
ANT01,0.25742574257425743,0.5098039215686274,0.050980392156862744,0.5098039215686274,0.050980392156862744,0.0,0.0,0.0,0.0,0.039603960396039604
UPS12,0.11607142857142858,0.25,0.025145067698259187,0.25,0.025145067698259187,0.0,0.0,0.0,0.0,0.044642857142857144
BOD12,0.05,0.10909090909090909,0.01090909090909091,0.10909090909090909,0.01090909090909091,0.0,0.0,0.0,0.0,0.041666666666666664
OCM08,0.2,0.38095238095238093,0.03827751196172249,0.38095238095238093,0.03827751196172249,0.0,0.0,0.0,0.0,0.05
UPS10,0.1509433962264151,0.2857142857142857,0.02882882882882883,0.2857142857142857,0.02882882882882883,0.0,0.0,0.0,0.0,0.018867924528301886
BRE14,0.3522727272727273,0.6595744680851063,0.06595744680851064,0.6595744680851063,0.06595744680851064,0.0,0.0,0.0,0.0,0.06818181818181818
LOR01,0.11965811965811966,0.25925925925925924,0.026168224299065422,0.25925925925925924,0.026168224299065422,0.0,0.0,0.0,0.0,0.08547008547008547
AMU09,0.1728395061728395,0.34146341463414637,0.03414634146341464,0.34146341463414637,0.03414634146341464,0.0,0.0,0.0,0.0,0.04938271604938271
BFC07,0.14912280701754385,0.27419354838709675,0.02750809061488673,0.27419354838709675,0.02750809061488673,0.0,0.0,0.0,0.0,0.12280701754385964
HES07,0.09278350515463918,0.16666666666666666,0.016791044776119403,0.16666666666666666,0.016791044776119403,0.0,0.0,0.0,0.0,0.09278350515463918
LRE10,0.15463917525773196,0.30612244897959184,0.030737704918032786,0.30612244897959184,0.030737704918032786,0.0,0.0,0.0,0.0,0.10309278350515463
BRE12,0.14925373134328357,0.25,0.025252525252525252,0.25,0.025252525252525252,0.0,0.0,0.0,0.0,0.1044776119402985
