,ID,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent,synonymToNouns,synonymToVerbs,averageSynClassNOUN,averageSynClassVERB,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap,POS_numNouns,POS_numProperNouns,POS_numPronouns,POS_numConjunct,POS_numAdjectives,POS_numVerbs,POS_numAdverbs,POS_numModals,POS_numPrepositions,POS_numInterjections,POS_numPerPronouns,POS_numWhPronouns,POS_numLexicals,POS_numFunctionWords,POS_numDeterminers,POS_numVerbsVB,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_advVar,POS_adjVar,POS_modVar,POS_nounVar,POS_verbVar1,POS_verbVar2,POS_squaredVerbVar1,POS_correctedVV1,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD
0,SPC01,1,463,17.81,26.57,2.81,1.3,0.0,0.43,0.86,15.98,3.02,2.59,0.65,1.51,1.51,1.08,11.02,1.3,1.73,0,0.64,0.12,0.0326530612244898,16,0.1875,0.04,0.974358974358974,0.784313725490196,1.02631578947368,1.275,0,0.28,0.44,10.12,0,2.6,3.72,101.16,0.293296089385475,0.0446927374301676,0.0307262569832402,0.0502793296089386,0.0670391061452514,0.167597765363128,0.053072625698324,0,0.209497206703911,0.0027932960893854,0.0307262569832402,0,0.581005586592179,0.472067039106145,0.125698324022346,0.139664804469274,0,0.0279329608938547,0,0,0.0913461538461538,0.115384615384615,0.206730769230769,0.504807692307692,1.22448979591837,0.288461538461538,73.4693877551021,6.06091526731326,0.123595505617978,0.44,0.0224489795918367,0.44,0.0224489795918367,0,0,0,0,0.179775280898876,0.0285714285714286,0.447213595499958,0.632455532033676,0.426038846828626,40.2954864769933
1,GRE13,1,549,13.73,24.23,2.91,2.37,0.36,0.0,0.91,22.77,2.73,3.64,2.19,2.0,4.19,0.73,9.11,2.0,2.55,0,0.666666666666667,0.102564102564103,0.0451388888888889,26,0.153846153846154,0.0512820512820513,0.864197530864198,0.82,1.15714285714286,1.21951219512195,0,0.17948717948718,0.230769230769231,4.66666666666667,0,4.1025641025641,5.23076923076923,88.8717948717949,0.233183856502242,0.0022421524663677,0.0269058295964126,0.0560538116591928,0.0852017937219731,0.152466367713004,0.112107623318386,0,0.165919282511211,0.0044843049327354,0.0269058295964126,0,0.582959641255605,0.52914798206278,0.163677130044843,0.141255605381166,0,0.0112107623318386,0,0,0.192307692307692,0.146153846153846,0.338461538461539,0.4,1.15254237288136,0.261538461538462,78.3728813559322,6.2599074017086,0.116504854368932,0.307692307692308,0.0208333333333333,0.307692307692308,0.0208333333333333,0,0,0,0,0.0097087378640776,0.0225694444444444,0.383016173142713,0.541666666666667,0.403540892380151,39.7714285714286
3,UPL02,1,564,14.46,23.05,3.72,0.89,0.0,0.53,0.0,20.57,3.01,2.84,1.95,1.77,2.48,0.0,11.35,3.01,2.13,0,0.515151515151515,0.0606060606060606,0.0295138888888889,17,0.117647058823529,0.0909090909090909,0.896551724137931,0.854545454545455,1.11538461538462,1.17021276595745,0,0.333333333333333,0.363636363636364,5.60606060606061,0,5.48484848484848,6.33333333333333,85.8787878787879,0.225663716814159,0.0221238938053097,0.0464601769911504,0.0376106194690266,0.0752212389380531,0.168141592920354,0.128318584070796,0,0.194690265486726,0.0022123893805309,0.0464601769911504,0,0.597345132743363,0.530973451327434,0.121681415929204,0.157079646017699,0,0.0110619469026549,0,0,0.214814814814815,0.125925925925926,0.340740740740741,0.377777777777778,1.26666666666667,0.281481481481482,96.2666666666667,6.9378190617321,0.228260869565217,0.636363636363636,0.0364583333333333,0.636363636363636,0.0364583333333333,0,0,0,0,0.108695652173913,0.0225694444444444,0.383016173142713,0.541666666666667,0.403540892380151,50.4749192680301
4,UPS01,1,502,19.31,27.29,4.78,0.8,0.2,0.0,0.0,20.92,2.59,3.59,1.99,2.19,2.79,1.0,11.35,3.59,0.6,0,0.769230769230769,0.115384615384615,0.0392927308447937,20,0.15,0.0384615384615385,0.857142857142857,0.925,1.16666666666667,1.08108108108108,0,0.153846153846154,0.269230769230769,9.46153846153846,0,2.92307692307692,3.38461538461538,122.038461538462,0.264705882352941,0.0098039215686274,0.017156862745098,0.0490196078431373,0.0833333333333333,0.120098039215686,0.122549019607843,0,0.176470588235294,0.0,0.017156862745098,0,0.590686274509804,0.531862745098039,0.166666666666667,0.102941176470588,0,0.017156862745098,0,0,0.20746887966805,0.141078838174274,0.348547717842324,0.448132780082988,1.06521739130435,0.203319502074689,52.1956521739131,5.10860314439833,0.0673076923076923,0.269230769230769,0.0137524557956778,0.269230769230769,0.0137524557956778,0,0,0,0,0.0384615384615385,0.0255402750491159,0.407445441524695,0.576214869331317,0.411547653610621,48.8165501824349
7,LOR02,1,469,18.76,27.29,2.56,0.64,0.0,0.21,0.21,14.29,2.99,2.13,1.71,1.28,0.64,0.64,8.53,1.71,5.33,0,0.56,0.2,0.0286298568507157,14,0.357142857142857,0.0,0.942857142857143,0.916666666666667,1.06060606060606,1.09090909090909,0,0.36,0.4,10.68,0,3.84,5.24,113.4,0.301333333333333,0.0186666666666667,0.032,0.032,0.096,0.138666666666667,0.048,0,0.205333333333333,0.0,0.032,0,0.584,0.464,0.146666666666667,0.106666666666667,0,0.032,0,0,0.0821917808219178,0.164383561643836,0.246575342465753,0.515981735159817,1.2093023255814,0.237442922374429,62.8837209302326,5.6073042065788,0.113207547169811,0.48,0.0245398773006135,0.48,0.0245398773006135,0,0,0,0,0.0660377358490566,0.0265848670756646,0.415694161604202,0.587880321139975,0.414211758730399,39.3933643904102
9,BRE04,1,524,19.41,24.24,2.1,0.57,0.19,0.0,0.38,16.98,1.91,2.86,2.1,0.19,2.29,0.76,10.69,2.86,1.91,0,1.03703703703704,0.148148148148148,0.0528301886792453,28,0.142857142857143,0.037037037037037,0.894117647058824,0.914893617021277,1.11842105263158,1.09302325581395,0,0.222222222222222,0.333333333333333,7.2962962962963,0,2.74074074074074,4.2962962962963,101.37037037037,0.289411764705882,0.0376470588235294,0.0258823529411765,0.0635294117647059,0.0682352941176471,0.115294117647059,0.0894117647058824,0,0.209411764705882,0.0023529411764705,0.0258823529411765,0,0.562352941176471,0.527058823529412,0.136470588235294,0.101176470588235,0,0.0141176470588235,0,0,0.158995815899582,0.121338912133891,0.280334728033473,0.514644351464435,1.13953488372093,0.205020920502092,55.8372093023256,5.28380588696848,0.102803738317757,0.407407407407407,0.0207547169811321,0.407407407407407,0.0207547169811321,0,0,0,0,0.149532710280374,0.0245283018867925,0.399291825942068,0.56468391559199,0.408895209452511,42.7209913799543
11,OCM11,1,444,10.09,21.62,3.38,2.48,0.23,1.58,0.9,14.64,2.25,1.58,1.35,0.9,0.9,0.45,9.01,3.15,3.38,0,0.209302325581395,0.0465116279069767,0.0203619909502262,9,0.222222222222222,0.13953488372093,0.925925925925926,0.975609756097561,1.08,1.025,0,0.395348837209302,0.418604651162791,2.62790697674419,0,7.27906976744186,8.27906976744186,52.1860465116279,0.241590214067278,0.0122324159021407,0.0764525993883792,0.0275229357798165,0.0214067278287462,0.180428134556575,0.113149847094801,0,0.162079510703364,0.0,0.0764525993883792,0,0.556574923547401,0.556574923547401,0.17737003058104,0.122324159021407,0,0.0581039755351682,0,0,0.203296703296703,0.0384615384615385,0.241758241758242,0.434065934065934,1.4047619047619,0.324175824175824,82.8809523809524,6.43742776196178,0.333333333333333,0.581395348837209,0.0565610859728507,0.581395348837209,0.0565610859728507,0,0,0,0,0.0533333333333333,0.0271493212669683,0.403603676397788,0.570781792985393,0.407942905203243,31.9206488382289
12,LRE07,1,600,15.79,17.67,3.17,1.0,0.33,0.0,0.17,20.0,1.83,3.67,2.17,2.17,2.17,0.5,10.17,3.33,2.17,0,0.810810810810811,0.0810810810810811,0.0503355704697987,30,0.1,0.0810810810810811,0.893939393939394,0.859649122807018,1.11864406779661,1.16326530612245,0,0.432432432432432,0.486486486486487,4.86486486486487,0,6.24324324324324,6.64864864864865,81.4594594594595,0.225512528473804,0.0182232346241458,0.0706150341685649,0.0683371298405467,0.0637813211845103,0.170842824601367,0.111617312072893,0,0.173120728929385,0.0045558086560364,0.0706150341685649,0,0.571753986332574,0.539863325740319,0.111617312072893,0.14123006833713,0,0.0296127562642369,0,0,0.195219123505976,0.111553784860558,0.306772908366534,0.394422310756972,1.47058823529412,0.298804780876494,110.294117647059,7.42610657232506,0.340659340659341,0.837837837837838,0.052013422818792,0.837837837837838,0.052013422818792,0,0,0,0,0.0879120879120879,0.0218120805369128,0.37653489013627,0.532500748337376,0.401385408014603,48.3918548939083
16,UPL01,1,415,20.75,27.47,3.86,2.89,0.48,0.72,0.48,13.98,2.41,2.65,1.2,1.69,0.96,0.48,7.95,1.69,1.2,0,0.4,0.15,0.0184757505773672,8,0.375,0.0,0.878378378378378,0.926829268292683,1.13846153846154,1.07894736842105,0,0.35,0.45,13.2,0,2.65,3.4,111.85,0.290220820189275,0.0063091482649842,0.0189274447949527,0.0252365930599369,0.116719242902208,0.129337539432177,0.0504731861198738,0,0.211356466876972,0.0,0.0189274447949527,0,0.586750788643533,0.463722397476341,0.157728706624606,0.107255520504732,0,0.0220820189274448,0,0,0.0860215053763441,0.198924731182796,0.28494623655914,0.494623655913979,1.10810810810811,0.220430107526882,45.4324324324324,4.76615318849659,0.0666666666666667,0.3,0.0138568129330254,0.3,0.0138568129330254,0,0,0,0,0.0222222222222222,0.0300230946882217,0.44175798291988,0.624740130731877,0.422510322860794,46.1106491106491
17,SPC06,1,517,15.21,24.37,2.32,2.13,1.35,0.39,0.19,20.31,1.93,4.26,2.51,2.13,1.35,0.58,11.03,4.06,3.48,0,0.617647058823529,0.0882352941176471,0.0413385826771654,21,0.142857142857143,0.0294117647058824,0.96551724137931,0.811320754716981,1.03571428571429,1.23255813953488,0,0.617647058823529,0.705882352941177,3.55882352941176,0,6.32352941176471,7.82352941176471,63.5882352941176,0.242966751918159,0.0127877237851662,0.0358056265984655,0.0537084398976982,0.0434782608695652,0.19693094629156,0.0946291560102302,0,0.21227621483376,0.0,0.0358056265984655,0,0.578005115089514,0.516624040920716,0.120204603580563,0.161125319693095,0,0.0358056265984655,0,0,0.163716814159292,0.0752212389380531,0.238938053097345,0.420353982300885,1.50980392156863,0.34070796460177,116.254901960784,7.62413608092039,0.155555555555556,0.411764705882353,0.0275590551181102,0.411764705882353,0.0275590551181102,0,0,0,0,0.0555555555555556,0.0255905511811024,0.407846273339803,0.576781731120474,0.411677553178241,38.0861288812607
