,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent,synonymToNouns,synonymToVerbs,averageSynClassNOUN,averageSynClassVERB,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD,POS_numNouns,POS_numProperNouns,POS_numPronouns,POS_numConjunct,POS_numAdjectives,POS_numVerbs,POS_numAdverbs,POS_numModals,POS_numPrepositions,POS_numInterjections,POS_numPerPronouns,POS_numWhPronouns,POS_numLexicals,POS_numFunctionWords,POS_numDeterminers,POS_numVerbsVB,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_advVar,POS_adjVar,POS_modVar,POS_nounVar,POS_verbVar1,POS_verbVar2,POS_squaredVerbVar1,POS_correctedVV1,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
LDV09,0.3898305084745763,0.0847457627118644,0.0391156462585034,23,0.217391304347826,0.0,0.935483870967742,0.8767123287671232,1.0689655172413792,1.140625,0.0187074829931972,0.3207665139358923,0.4536323543632774,0.3760385684365186,54.79090909090909,0.2709551656920078,0.0175438596491228,0.023391812865497,0.0428849902534113,0.0643274853801169,0.1656920077972709,0.0838206627680311,0,0.1949317738791423,0.0058479532163742,0.023391812865497,0,0.5847953216374269,0.4990253411306042,0.1481481481481481,0.1364522417153996,0,0.0292397660818713,0,0,0.1433333333333333,0.11,0.2533333333333333,0.4633333333333333,1.1333333333333333,0.2833333333333333,96.33333333333331,6.940220937885671,0.0,0.1525423728813559,0.1694915254237288,2.0508474576271185,0.0,3.406779661016949,4.135593220338983,59.77966101694916,0.0923076923076923,0.2033898305084746,0.0204081632653061,0.2033898305084746,0.0204081632653061,0.0,0.0,0.0,0.0,0.0692307692307692
BFC08,0.4142857142857143,0.0571428571428571,0.0417266187050359,29,0.1379310344827586,0.0142857142857142,0.9016393442622952,0.8275862068965517,1.1090909090909091,1.2083333333333333,0.018705035971223,0.348687157510783,0.493118107177073,0.3919596440162866,61.87099207846096,0.2591362126245847,0.0282392026578073,0.0249169435215946,0.0498338870431893,0.0697674418604651,0.1378737541528239,0.0980066445182724,0,0.2176079734219269,0.0,0.0249169435215946,0,0.5647840531561462,0.5332225913621262,0.1428571428571428,0.1096345514950166,0,0.0282392026578073,0,0,0.1735294117647058,0.1235294117647058,0.2970588235294117,0.4588235294117647,1.2769230769230768,0.2441176470588235,105.98461538461538,7.279581560248343,0.0,0.1285714285714285,0.1428571428571428,1.8714285714285717,0.0,2.642857142857143,3.242857142857143,65.68571428571428,0.1079136690647482,0.2142857142857142,0.0215827338129496,0.2142857142857142,0.0215827338129496,0.0,0.0,0.0,0.0,0.1223021582733813
OCM16,0.3396226415094339,0.0566037735849056,0.0342205323193916,18,0.1666666666666666,0.0377358490566037,0.921875,0.96,1.0847457627118644,1.0416666666666667,0.0228136882129277,0.3699758495869244,0.5232248642363369,0.3966140757504276,61.1359649122807,0.2068965517241379,0.0073891625615763,0.0320197044334975,0.0492610837438423,0.0738916256157635,0.1502463054187192,0.1945812807881773,0,0.1822660098522167,0.0,0.0320197044334975,0,0.625615763546798,0.5689655172413793,0.1108374384236453,0.1305418719211822,0,0.0197044334975369,0,0,0.3110236220472441,0.1181102362204724,0.4291338582677165,0.3307086614173228,1.196078431372549,0.2401574803149606,72.96078431372548,6.039900012157713,0.0,0.2075471698113207,0.2452830188679245,1.2830188679245282,0.0,4.490566037735849,5.735849056603773,30.9622641509434,0.1604938271604938,0.2452830188679245,0.0247148288973384,0.2452830188679245,0.0247148288973384,0.0,0.0,0.0,0.0,0.037037037037037
GRE10,0.2456140350877192,0.087719298245614,0.0245614035087719,14,0.3571428571428571,0.0175438596491228,0.8028169014084507,0.9090909090909092,1.2456140350877194,1.1,0.0228070175438596,0.38502677054341,0.5445100807792042,0.4042067984378816,43.84615384615385,0.2381974248927038,0.0150214592274678,0.0257510729613733,0.0300429184549356,0.0793991416309012,0.167381974248927,0.130901287553648,0,0.1909871244635193,0.0,0.0257510729613733,0,0.6158798283261803,0.5150214592274678,0.1373390557939914,0.148068669527897,0,0.01931330472103,0,0,0.2125435540069686,0.1289198606271777,0.3414634146341463,0.3867595818815331,1.3928571428571428,0.2717770034843205,108.64285714285714,7.370307223679931,0.0,0.2456140350877192,0.2631578947368421,1.824561403508772,0.0,5.175438596491228,6.9298245614035086,46.280701754385966,0.1153846153846153,0.2105263157894736,0.0210526315789473,0.2105263157894736,0.0210526315789473,0.0,0.0,0.0,0.0,0.0673076923076923
HES01,0.4761904761904761,0.0952380952380952,0.0476190476190476,20,0.2,0.0238095238095238,0.9285714285714286,0.9215686274509804,1.0769230769230769,1.0851063829787233,0.0309523809523809,0.4485426135725303,0.6343350474165466,0.4246425821534755,37.20179204778794,0.1964809384164222,0.0117302052785923,0.093841642228739,0.064516129032258,0.0439882697947214,0.219941348973607,0.1085043988269794,0,0.1671554252199413,0.002932551319648,0.093841642228739,0,0.5689149560117303,0.5395894428152492,0.1026392961876832,0.2111436950146627,0,0.0087976539589442,0,0,0.190721649484536,0.0773195876288659,0.268041237113402,0.345360824742268,1.293103448275862,0.3865979381443299,96.98275862068964,6.963575181639445,0.0,0.3095238095238095,0.3571428571428571,1.7857142857142858,0.0,5.880952380952381,6.785714285714286,24.047619047619047,0.5079365079365079,0.7619047619047619,0.0761904761904762,0.7619047619047619,0.0761904761904762,0.0,0.0,0.0,0.0,0.0634920634920634
BFC04,0.3888888888888889,0.0694444444444444,0.0391061452513966,28,0.1785714285714285,0.0277777777777777,0.8640776699029126,0.8625,1.1573033707865168,1.1594202898550725,0.0181564245810055,0.3435356746780985,0.4858328102887583,0.3901846899021627,55.26492104881936,0.2508417508417508,0.0151515151515151,0.0252525252525252,0.0471380471380471,0.0538720538720538,0.17003367003367,0.1094276094276094,0,0.2087542087542087,0.0,0.0252525252525252,0,0.5841750841750841,0.5252525252525253,0.1346801346801346,0.1498316498316498,0,0.0202020202020202,0,0,0.1873198847262248,0.0922190201729106,0.2795389048991354,0.4293948126801152,1.216867469879518,0.2910662824207493,122.90361445783132,7.8391203096339614,0.0,0.1388888888888889,0.1944444444444444,1.5972222222222223,0.0,3.861111111111111,5.25,50.97222222222222,0.1071428571428571,0.2083333333333333,0.020949720670391,0.2083333333333333,0.020949720670391,0.0,0.0,0.0,0.0,0.0642857142857142
NOR10,0.225,0.05,0.0227272727272727,9,0.2222222222222222,0.025,0.8679245283018868,0.8076923076923077,1.1521739130434785,1.238095238095238,0.0328282828282828,0.4619348854371559,0.6532745799184878,0.4288198855440226,50.285714285714285,0.264026402640264,0.0198019801980198,0.0198019801980198,0.0297029702970297,0.0462046204620462,0.2376237623762376,0.0726072607260726,0,0.198019801980198,0.0,0.0198019801980198,0,0.6204620462046204,0.4521452145214521,0.132013201320132,0.2046204620462046,0,0.033003300330033,0,0,0.1170212765957446,0.0744680851063829,0.1914893617021276,0.425531914893617,1.1612903225806452,0.3829787234042553,83.61290322580645,6.465790872963897,0.0,0.475,0.5,1.425,0.0,5.725,6.3,27.0,0.081081081081081,0.15,0.0151515151515151,0.15,0.0151515151515151,0.0,0.0,0.0,0.0,0.081081081081081
LRE06,0.3783783783783784,0.1081081081081081,0.0381471389645776,14,0.2857142857142857,0.0,0.9591836734693876,0.8048780487804879,1.0425531914893618,1.2424242424242424,0.0326975476839237,0.4429280823153373,0.6263949011662566,0.4207882114127543,73.4,0.217391304347826,0.0133779264214046,0.040133779264214,0.040133779264214,0.0735785953177257,0.2140468227424749,0.1237458193979933,0,0.1739130434782608,0.0033444816053511,0.040133779264214,0,0.6287625418060201,0.4949832775919732,0.1137123745819397,0.1839464882943143,0,0.0301003344481605,0,0,0.1968085106382978,0.1170212765957446,0.3138297872340425,0.3457446808510638,1.3061224489795915,0.3404255319148936,83.59183673469387,6.464976285134148,0.0,0.2162162162162162,0.2702702702702703,0.972972972972973,0.0,3.2432432432432434,4.135135135135135,18.324324324324323,0.1967213114754098,0.3243243243243243,0.0326975476839237,0.3243243243243243,0.0326975476839237,0.0,0.0,0.0,0.0,0.0655737704918032
CFE05,0.2857142857142857,0.1020408163265306,0.0286298568507157,14,0.3571428571428571,0.0204081632653061,0.9390243902439024,0.8409090909090909,1.0649350649350648,1.1891891891891893,0.0245398773006134,0.3837176876346476,0.5426587579753614,0.4012857215661363,46.67727272727272,0.2176039119804401,0.0146699266503667,0.0220048899755501,0.0366748166259168,0.0709046454767726,0.1564792176039119,0.1222493887530562,0,0.2102689486552567,0.0048899755501222,0.0220048899755501,0,0.5672371638141809,0.5550122249388753,0.1589242053789731,0.1344743276283618,0,0.0220048899755501,0,0,0.2155172413793103,0.125,0.3405172413793103,0.3836206896551724,1.1228070175438596,0.2758620689655172,71.85964912280701,5.9941491941228415,0.0,0.2040816326530612,0.2448979591836734,2.5510204081632653,0.0,2.693877551020408,4.530612244897959,49.55102040816327,0.108433734939759,0.1836734693877551,0.0184049079754601,0.1836734693877551,0.0184049079754601,0.0,0.0,0.0,0.0,0.072289156626506
LYO05,0.2758620689655172,0.0689655172413793,0.0276816608996539,16,0.25,0.0,0.9278350515463918,0.88,1.0777777777777775,1.1363636363636365,0.0207612456747404,0.3529411764705882,0.4991341984846218,0.3907347726596575,73.39682539682539,0.2510204081632653,0.0285714285714285,0.0306122448979591,0.0326530612244898,0.0795918367346938,0.1836734693877551,0.0857142857142857,0,0.2183673469387755,0.0,0.0306122448979591,0,0.6,0.4857142857142857,0.1183673469387755,0.1551020408163265,0,0.0285714285714285,0,0,0.1428571428571428,0.1326530612244898,0.2755102040816326,0.4183673469387755,1.0975609756097562,0.3061224489795918,98.78048780487804,7.027819284987273,0.0,0.0517241379310344,0.0689655172413793,1.5344827586206895,0.0,1.9482758620689653,3.396551724137931,46.689655172413794,0.1376146788990825,0.2586206896551724,0.0259515570934256,0.2586206896551724,0.0259515570934256,0.0,0.0,0.0,0.0,0.128440366972477
