feature,spearman,pearson
Segment,,
WC,0.16492344802136366,0.18386719488285808
WPS,0.07728755097515247,0.08380652354783978
BigWords,-0.12924698028362777,-0.11925369920204631
emopos,0.012379232696580872,-0.011845247159008242
emoneg,0.09830215886767205,0.12657594778815018
anxiete,-0.029576236454397137,0.01403003029889983
colère,-0.05434973777293342,-0.04147172040549201
tristesse,0.10549865559912884,0.13765204206458195
cognition,0.00969149395651096,0.00998216949269089
perspicacite,-0.09927818853376369,-0.13023537048955727
cause,-0.12867972421828522,-0.1502679153926196
divergence,0.1086449609264699,0.10651673312938939
tentative,0.09203058909063792,0.09520432738711426
certitude,0.09129900231509595,0.07224183836701215
inhibition,0.028508110383615254,0.029090385343948876
inclusion,0.07256513164462991,0.0616703833928198
exclusion,0.03599762561953949,0.039870329413494845
perception,-0.09732467607295489,-0.11763506523097521
remplisseur,,
conjunctToSent,0.14553893070004734,0.10126026462984324
conjunctTypesToSent,0.03861515819047247,0.08367017506224005
conjunctToWords,0.128431841675939,0.11157013569547959
conjunctNum,0.20283567544073663,0.18292019344181706
conjunctTypesToTotal,-0.12477337472168586,-0.06681808517530416
conjunctNeighborSent,-0.007672071397770057,-0.04442909482412194
synonymToNouns,0.01254233896256578,0.025190867440665284
synonymToVerbs,-0.04805209046047696,-0.06578330502389937
averageSynClassNOUN,-0.01254233896256578,-0.026769391450145726
averageSynClassVERB,0.04805209046047696,0.0769211250158132
localNounOverlapCount,,
localArgumentOverlapCount,0.024842599650657396,0.027684507137245573
localStemOverlapCount,0.026144920001564317,0.028767837011924605
localContentWordOverlap,0.09072483933227396,0.08491037562308228
globalNounOverlapCount,,
globalArgumentOverlapCount,0.04348947412299178,0.024401515548182658
globalStemOverlapCount,0.04381538404841154,0.026718130742927757
globalContentWordOverlap,0.13437682699694214,0.13946223023551427
POS_numNouns,-0.028259872762610345,-0.007266687134074394
POS_numProperNouns,0.066211568959746,0.10058869737019263
POS_numPronouns,-0.06417539308790057,-0.09222613245568359
POS_numConjunct,0.1437427242421927,0.12806999206850236
POS_numAdjectives,0.061569306280634645,0.07319995875658762
POS_numVerbs,-0.08282521063032218,-0.056973313734808816
POS_numAdverbs,0.08917755693655917,0.08290914006270049
POS_numModals,,
POS_numPrepositions,0.054972521585487794,0.03629162875052888
POS_numInterjections,0.011978580386798764,0.02694675965010769
POS_numPerPronouns,-0.06417539308790057,-0.09222613245568359
POS_numWhPronouns,,
POS_numLexicals,0.048782909014942206,0.06914127999606871
POS_numFunctionWords,0.03510099644620688,0.011148492214891134
POS_numDeterminers,-0.15042095676878975,-0.13681606834815488
POS_numVerbsVB,-0.029562970929653862,-0.0004551378639327193
POS_numVerbsVBG,,
POS_numVerbsVBN,-0.12362696934218888,-0.12724895172653908
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,0.08290651315060295,0.08112962912718663
POS_adjVar,0.058148731107385526,0.0687508268276177
POS_modVar,0.11312108245618786,0.11046818612682842
POS_nounVar,-0.03290207217857343,-0.03974843008831559
POS_verbVar1,-0.002850516376271546,-0.00987929154965205
POS_verbVar2,-0.08510608983381052,-0.07987924659589234
POS_squaredVerbVar1,0.0689810244112986,0.04777250470302858
POS_correctedVV1,0.0689810244112986,0.045917804191357575
DISC_RefExprPronounsPerNoun,-0.04503712268146574,-0.05208597211764501
DISC_RefExprPronounsPerSen,-0.012298639172301389,0.07458420060381984
DISC_RefExprPronounsPerWord,-0.07745020067664374,-0.09972903042320952
DISC_RefExprPerPronounsPerSen,-0.012298639172301389,0.07458420060381984
DISC_RefExprPerProPerWord,-0.07745020067664374,-0.09972903042320952
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,0.08486255831404124,0.09827126075292082
TTR,-0.10310535884381276,-0.13251187648317392
CorrectedTTR,-0.04381564698585342,-0.07615836495858257
RootTTR,-0.04381564698585342,-0.0761583649585821
BilogTTR,-0.019708896971331834,-0.05566187815321339
MTLD,-0.02321054284492637,-0.02768657181091777
